Name,Price
"Air Jordan 3 Retro ""Pure Money""",$205
Nike Air Force 1 '07,$115
Nike Air Max Uptempo '95,$170
"Nike Air Max 95 ""Big Bubble""",$190
Nike SB Zoom Nyjah 4,$115
Nike Air Max Dn8,$200
Nike Air VaporMax Plus,$220
Nike Shox TL,$180
Nike G.T. Cut 3 Turbo,$210
A'One,$115
Nike G.T. Cut 3,$200
KD18,$155
Nike Pegasus Premium LV8,$220
Nike Pegasus 41 LV8,$145
Nike Free Metcon 6,$125
Nike Vomero 18,$155
Nike Invincible 3,$133.97
Nike Pegasus Trail 5,$124.97
Nike Ava Rover,$145
Nike Zoom Vomero 5,$170
Nike Free Run Flyknit 2018,$90.97
Nike Free Run 2018,$65.97
Nike ACG Phassad,$145
Nike Killshot 2 PRM,$105
Nike Shox R4,$155
Nike Shox Ride 2,$190
Nike Air Force 1 '07,$130
Nike Air Max 270,$170
Nike Dunk Low Retro,$120
Nike Dunk Low Retro SE Leather/Suede,$90.97
"Book 1 ""Decade""",$123.97
Kobe VI Protro,$190
"LeBron XXI ""Prime 93""",$210
Nike Total 90,$115
Nike Free Run 5.0,$65.97
Nike Flex Control 4,$59.97
Nike Vomero 18 By You,$175
Nike Streetgato,$90
Nike Lunargato II,$125
Nike Gato,$115
Nike Field General Suede,$105
Nike Air Force 1 '07 LV8,$86.97
Nike P-6000 SE,$86.97
Nike Air Max 2017,$133.97
Nike Air VaporMax 2023 Flyknit,$187.97
"Air Jordan 3 Retro ""Rare Air""",$210
Jordan Spizike Low,$165
Air Jordan 1 Low,$80.97
